,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Name,Survived,Boarded,Class,MWC,Age,Adut_or_Chld,Sex,Paid,Ticket_No,Boat_or_Body,Job,Class_Dept,Class_Full,FirstName,LastName,Title,url
0,0,0,0,"ABBING, Mr Anthony",Dead,Southampton,3,Man,42,Adult,Male,7.55,5547,,Blacksmith,3rd Class Passenger,3,Anthony,Abbing,Mr,https://www.encyclopedia-titanica.org//titanic-victim/anthony-abbing.html
1,1,1,1,"ABBOTT, Mr Ernest Owen",Dead,Southampton,Crew,Man,21,Adult,Male,,,,Lounge Pantry Steward,Victualling Crew,V,Ernest Owen,Abbott,Mr,https://www.encyclopedia-titanica.org//titanic-victim/ernest-owen-abbott.html
2,2,2,2,"ABBOTT, Mr Eugene Joseph",Dead,Southampton,3,Child,14,Child,Male,20.25,CA2673,,Scholar,3rd Class Passenger,3,Eugene Joseph,Abbott,Mr,https://www.encyclopedia-titanica.org//titanic-victim/eugene-joseph-abbott.html
3,3,3,3,"ABBOTT, Mr Rossmore Edward",Dead,Southampton,3,Man,16,Adult,Male,20.25,CA2673,[190],Jeweller,3rd Class Passenger,3,Rossmore Edward,Abbott,Mr,https://www.encyclopedia-titanica.org//titanic-victim/rossmore-edward-abbott.html
4,4,4,4,"ABBOTT, Mrs Rhoda Mary 'Rosa'",Alive,Southampton,3,Woman,39,Adult,Female,20.25,CA2673,A,,3rd Class Passenger,3,Rhoda Mary 'Rosa',Abbott,Mrs,https://www.encyclopedia-titanica.org//titanic-survivor/rhoda-mary-rosa-abbott.html
5,5,5,5,"ABELSETH, Miss Karen Marie",Alive,Southampton,3,Woman,16,Adult,Female,7.65,348125,16,,3rd Class Passenger,3,Karen Marie,Abelseth,Miss,https://www.encyclopedia-titanica.org//titanic-survivor/karen-marie-abelseth.html
6,6,6,6,"ABELSETH, Mr Olaus Jrgensen",Alive,Southampton,3,Man,25,Adult,Male,7.65,348122,A,Farmer,3rd Class Passenger,3,Olaus Jrgensen,Abelseth,Mr,https://www.encyclopedia-titanica.org//titanic-survivor/olaus-jorgensen-abelseth.html
7,7,7,7,"ABELSON, Mr Samuel",Dead,Cherbourg,2,Man,30,Adult,Male,24,3381,,,2nd Class Passenger,2,Samuel,Abelson,Mr,https://www.encyclopedia-titanica.org//titanic-victim/samuel-abelson.html
8,8,8,8,"ABELSON, Mrs Hannah",Alive,Cherbourg,2,Woman,28,Adult,Female,24,3381,10,,2nd Class Passenger,2,Hannah,Abelson,Mrs,https://www.encyclopedia-titanica.org/titanic-search.php?q=Hannah+Abelson
9,9,9,9,"ABRAHAMSSON, Mr Abraham August Johannes",Alive,Southampton,3,Man,20,Adult,Male,7.925,3101284,15,,3rd Class Passenger,3,Abraham August Johannes,Abrahamsson,Mr,https://www.encyclopedia-titanica.org//titanic-survivor/august-abrahamsson.html
